asu	qq	cc
4599437	123	123
43104782	123	123
26971370	123	123
46018998	123	123
24914198	123	123
91425537	123	123
30717987	123	123
74654331	123	123
6685858	123	123
96808778	123	123
5525308	123	123
16125290	123	123
28943643	123	123
44869840	123	123
73079288	123	123
60470714	123	123
25292974	123	123
40487027	123	123
8976822	123	123
37980864	123	123
99131472	123	123
81597096	123	123
82439550	123	123
62034632	123	123
49495139	123	123
10475580	123	123
18921886	123	123
93712894	123	123
20077726	123	123
16758651	123	123
37805728	123	123
3066470	123	123
38865565	123	123
61149566	123	123
30832958	123	123
111185	123	123
41499906	123	123
73490925	123	123
56196718	123	123
1281382	123	123
25751886	123	123
70597513	123	123
10237234	123	123
35030045	123	123
81403513	123	123
4009863	123	123
19303128	123	123
82443055	123	123
78883418	123	123
88054039	123	123
29936077	123	123
50594062	123	123
79829913	123	123
78743743	123	123
17852452	123	123
11833099	123	123
76927409	123	123
77996822	123	123
12184412	123	123
78944680	123	123
38365719	123	123
9463809	123	123
64747130	123	123
21542102	123	123
52889321	123	123
59808454	123	123
54179893	123	123
69871701	123	123
86064553	123	123
12082877	123	123
18643030	123	123
92879338	123	123
5203725	123	123
28770533	123	123
62607709	123	123
72433873	123	123
81421398	123	123
27889673	123	123
76579839	123	123
43746486	123	123
28549695	123	123
66727700	123	123
53865352	123	123
46799852	123	123
57261081	123	123
59180534	123	123
56936907	123	123
25563237	123	123
74811961	123	123
53135672	123	123
50502049	123	123
41231503	123	123
67342359	123	123
17600596	123	123
53180689	123	123
46110875	123	123
70867916	123	123
11443838	123	123
90785444	123	123
50556321	123	123
83686032	123	123
25486789	123	123
11921685	123	123
87719568	123	123
43076496	123	123
96596374	123	123
46963923	123	123
67037088	123	123
36355045	123	123
74102178	123	123
70795572	123	123
54457730	123	123
99727270	123	123
60201966	123	123
42558618	123	123
48076671	123	123
64682793	123	123
63793077	123	123
44230732	123	123
58109170	123	123
42385222	123	123
31527443	123	123
53247654	123	123
72355435	123	123
96406750	123	123
86474188	123	123
28589072	123	123
10353026	123	123
76129558	123	123
70474761	123	123
4296238	123	123
30443362	123	123
71746581	123	123
80419788	123	123
65373494	123	123
27406685	123	123
18938477	123	123
3913908	123	123
17642853	123	123
14250599	123	123
7377189	123	123
99148050	123	123
72533106	123	123
57786041	123	123
47534149	123	123
86178040	123	123
40029229	123	123
86556878	123	123
73573167	123	123
69826110	123	123
69896334	123	123
11184020	123	123
55705547	123	123
58710321	123	123
43259201	123	123
24474442	123	123
48787177	123	123
88155473	123	123
29807976	123	123
41705886	123	123
63383340	123	123
1281660	123	123
31052269	123	123
43220252	123	123
83903520	123	123
97262637	123	123
45699293	123	123
95862002	123	123
41205006	123	123
78776953	123	123
62681215	123	123
7542324	123	123
28766244	123	123
44147341	123	123
8232570	123	123
50522223	123	123
80421240	123	123
49989905	123	123
59812328	123	123
51949788	123	123
26478055	123	123
11795185	123	123
88891848	123	123
6370831	123	123
52646632	123	123
35851230	123	123
6601962	123	123
51601320	123	123
18970821	123	123
69742302	123	123
40398028	123	123
74290883	123	123
99562139	123	123
59945609	123	123
790801	123	123
25452231	123	123
48271259	123	123
43495135	123	123
65903751	123	123
40604842	123	123
76229437	123	123
42123617	123	123
63566985	123	123
45962226	123	123
33257209	123	123
43519991	123	123
18844683	123	123
28916390	123	123
78310941	123	123
47782589	123	123
74754544	123	123
38518649	123	123
40494429	123	123
33320857	123	123
67614299	123	123
34048329	123	123
64620319	123	123
22230684	123	123
76994500	123	123
49895162	123	123
84574152	123	123
19557864	123	123
83645094	123	123
84941224	123	123
51473841	123	123
36891606	123	123
20010258	123	123
71250720	123	123
89451295	123	123
30183324	123	123
90125993	123	123
93021902	123	123
91499753	123	123
6973010	123	123
66962263	123	123
662032	123	123
17098760	123	123
31830566	123	123
19678487	123	123
67776155	123	123
81103721	123	123
64411439	123	123
2818796	123	123
20667801	123	123
82479552	123	123
66440941	123	123
18038728	123	123
40311559	123	123
64777729	123	123
79303468	123	123
64115474	123	123
39627707	123	123
13086384	123	123
95976288	123	123
89691205	123	123
21342584	123	123
90895504	123	123
41565002	123	123
85913971	123	123
85523225	123	123
71490111	123	123
43018842	123	123
27856991	123	123
14160574	123	123
27153754	123	123
20051211	123	123
58470305	123	123
22024849	123	123
50616345	123	123
71220675	123	123
69134220	123	123
52302576	123	123
56728170	123	123
18195562	123	123
29170927	123	123
8012349	123	123
29260878	123	123
73805802	123	123
57540670	123	123
72926044	123	123
36947082	123	123
12399834	123	123
52386622	123	123
31587468	123	123
72505446	123	123
96422487	123	123
3113335	123	123
97998216	123	123
40883421	123	123
35657920	123	123
4920823	123	123
15799726	123	123
32137845	123	123
18006316	123	123
20017414	123	123
11619576	123	123
73792694	123	123
68756602	123	123
26262875	123	123
97173541	123	123
84709559	123	123
64739332	123	123
63239875	123	123
39408181	123	123
78996998	123	123
65373320	123	123
8550784	123	123
3776443	123	123
88017287	123	123
11265952	123	123
65935806	123	123
54723191	123	123
3951269	123	123
97925653	123	123
94461549	123	123
75437707	123	123
4505840	123	123
44064921	123	123
46134018	123	123
63776129	123	123
77752838	123	123
21692	123	123
74983522	123	123
94530499	123	123
26496608	123	123
85069869	123	123
31735386	123	123
91933929	123	123
35317206	123	123
30405046	123	123
88889119	123	123
33323301	123	123
14103795	123	123
68023880	123	123
52446303	123	123
25446956	123	123
33894764	123	123
71596214	123	123
34675745	123	123
72424514	123	123
64412768	123	123
45858748	123	123
56380702	123	123
4660161	123	123
65894470	123	123
61105797	123	123
65792049	123	123
30815395	123	123
36637016	123	123
72759510	123	123
21123877	123	123
30396394	123	123
79602945	123	123
63312554	123	123
89533210	123	123
94356628	123	123
80102141	123	123
24438579	123	123
60755617	123	123
95738604	123	123
51829496	123	123
27181138	123	123
34696718	123	123
34113451	123	123
5388813	123	123
49010430	123	123
90522835	123	123
88254414	123	123
38821234	123	123
57151263	123	123
50987416	123	123
63655701	123	123
60477611	123	123
79348791	123	123
23299826	123	123
13788883	123	123
17074225	123	123
45981548	123	123
1070225	123	123
61117563	123	123
69988855	123	123
74340140	123	123
18428869	123	123
51393503	123	123
95711765	123	123
87686283	123	123
2850078	123	123
81524947	123	123
83594654	123	123
88061692	123	123
96750331	123	123
19661006	123	123
39887478	123	123
34830837	123	123
74844103	123	123
50543110	123	123
9703498	123	123
47248299	123	123
11111781	123	123
2799529	123	123
31018056	123	123
40524821	123	123
28129994	123	123
49864987	123	123
58713071	123	123
35856353	123	123
25301429	123	123
99778458	123	123
73751863	123	123
76660707	123	123
98616863	123	123
73512743	123	123
78224808	123	123
61164011	123	123
97836689	123	123
93437190	123	123
66992590	123	123
33257846	123	123
86205876	123	123
26541566	123	123
31705461	123	123
35599871	123	123
5340134	123	123
22142125	123	123
40386538	123	123
71950217	123	123
53839409	123	123
79353298	123	123
89887601	123	123
64436397	123	123
59144156	123	123
11879491	123	123
42040943	123	123
41421721	123	123
10965531	123	123
84006976	123	123
88093733	123	123
86153328	123	123
70670845	123	123
4748402	123	123
69407886	123	123
9907483	123	123
94413839	123	123
73937128	123	123
53837985	123	123
27986327	123	123
64166980	123	123
66759885	123	123
81698334	123	123
81418230	123	123
11046289	123	123
71382461	123	123
41825639	123	123
40584858	123	123
48069790	123	123
32640724	123	123
39994068	123	123
39152985	123	123
77627408	123	123
10882510	123	123
80828724	123	123
36918245	123	123
38332217	123	123
76796357	123	123
70419887	123	123
21749761	123	123
85635336	123	123
74398337	123	123
74250768	123	123
67766829	123	123
42702657	123	123
30428999	123	123
56042124	123	123
48183498	123	123
81743895	123	123
29725466	123	123
55721307	123	123
88608058	123	123
3920432	123	123
27624291	123	123
11486146	123	123
9434940	123	123
25826166	123	123
18383090	123	123
56279455	123	123
79985701	123	123
37888771	123	123
17691359	123	123
12543040	123	123
67429935	123	123
37202427	123	123
41577987	123	123
29900555	123	123
7096758	123	123
47109023	123	123
28840782	123	123
28439142	123	123
90748535	123	123
44117436	123	123
4951935	123	123
80342872	123	123
2246903	123	123
12291382	123	123
65367049	123	123
25311564	123	123
8476916	123	123
84087944	123	123
77623116	123	123
11439655	123	123
33912801	123	123
39896425	123	123
98026589	123	123
52608407	123	123
34596068	123	123
14868605	123	123
37731492	123	123
11923343	123	123
90542423	123	123
65763263	123	123
11629604	123	123
29363555	123	123
19912730	123	123
14282405	123	123
25858134	123	123
83490792	123	123
3031660	123	123
37705249	123	123
87031392	123	123
65391846	123	123
22169947	123	123
7018249	123	123
96339237	123	123
63145819	123	123
76013317	123	123
25564137	123	123
9395966	123	123
12054617	123	123
23949184	123	123
20823498	123	123
52990879	123	123
8905829	123	123
86335036	123	123
95465456	123	123
4449346	123	123
26140576	123	123
12197108	123	123
52140860	123	123
84043909	123	123
78401794	123	123
44196805	123	123
49025034	123	123
27524858	123	123
99100166	123	123
99097161	123	123
67549655	123	123
70452308	123	123
55074706	123	123
88971292	123	123
55257097	123	123
53001152	123	123
36390305	123	123
97368699	123	123
72633724	123	123
59429700	123	123
33554490	123	123
21952505	123	123
39304863	123	123
81155422	123	123
81534399	123	123
726930	123	123
67014714	123	123
55591427	123	123
98126590	123	123
40933987	123	123
12863291	123	123
94204608	123	123
16096787	123	123
72960782	123	123
50207040	123	123
73528604	123	123
89751182	123	123
86091466	123	123
71971606	123	123
46859146	123	123
24124405	123	123
56912266	123	123
53973585	123	123
7318748	123	123
80002091	123	123
99414325	123	123
85050045	123	123
89060303	123	123
44639626	123	123
36354488	123	123
56260472	123	123
59396079	123	123
21408534	123	123
31738361	123	123
6588426	123	123
58395622	123	123
61159446	123	123
41364389	123	123
10462084	123	123
93541799	123	123
63736358	123	123
69375823	123	123
87151905	123	123
4943211	123	123
81461185	123	123
43830923	123	123
24200687	123	123
37556600	123	123
39162019	123	123
44810664	123	123
77228899	123	123
94143601	123	123
64193312	123	123
42270132	123	123
88682480	123	123
92150858	123	123
94571035	123	123
64957925	123	123
3650716	123	123
53417830	123	123
21966484	123	123
16486563	123	123
53683210	123	123
43295562	123	123
74139053	123	123
59689192	123	123
66160820	123	123
64642138	123	123
92214922	123	123
3705889	123	123
52830532	123	123
48134917	123	123
9299840	123	123
54472976	123	123
73912833	123	123
11145735	123	123
38483371	123	123
97903396	123	123
39748772	123	123
14465421	123	123
65893500	123	123
21120131	123	123
90453779	123	123
13250101	123	123
97832684	123	123
71949417	123	123
19512981	123	123
79263890	123	123
64667232	123	123
21457830	123	123
47717486	123	123
75479370	123	123
69337055	123	123
84077558	123	123
56573655	123	123
75639946	123	123
2205510	123	123
49717793	123	123
57727136	123	123
7177440	123	123
25503788	123	123
23799927	123	123
82932842	123	123
5280092	123	123
4757539	123	123
97953936	123	123
36042741	123	123
20124275	123	123
75434362	123	123
45543085	123	123
49826304	123	123
4617836	123	123
93403944	123	123
81001887	123	123
81907128	123	123
26819365	123	123
86484083	123	123
45148453	123	123
77482633	123	123
80482864	123	123
26672440	123	123
14418273	123	123
59372402	123	123
3503653	123	123
42317872	123	123
89301644	123	123
49494722	123	123
82197836	123	123
24385716	123	123
72310189	123	123
62129405	123	123
42581974	123	123
1744414	123	123
36709028	123	123
98661210	123	123
74579473	123	123
46254668	123	123
25493904	123	123
93399702	123	123
76950831	123	123
79474230	123	123
93479937	123	123
54518325	123	123
64642258	123	123
42063099	123	123
12534022	123	123
92492331	123	123
22479628	123	123
14729291	123	123
15527663	123	123
58293959	123	123
16603700	123	123
18069819	123	123
93357717	123	123
26276509	123	123
96020494	123	123
88544674	123	123
72891334	123	123
12635754	123	123
7898509	123	123
5649954	123	123
42728733	123	123
83496272	123	123
64178500	123	123
76311499	123	123
47418748	123	123
95883645	123	123
9629486	123	123
13095467	123	123
41877394	123	123
81235865	123	123
59115214	123	123
79746659	123	123
3658811	123	123
91121272	123	123
98716861	123	123
7831974	123	123
82628824	123	123
66824252	123	123
34682486	123	123
43945841	123	123
72213198	123	123
68548991	123	123
18512056	123	123
97181626	123	123
51861630	123	123
26614329	123	123
37164666	123	123
55678610	123	123
90662981	123	123
82697603	123	123
91711931	123	123
41004012	123	123
45689767	123	123
99464038	123	123
14220021	123	123
58846548	123	123
32061509	123	123
20525353	123	123
30953466	123	123
5322424	123	123
84680248	123	123
28745120	123	123
17988379	123	123
76574237	123	123
18781926	123	123
56904676	123	123
97032816	123	123
52872985	123	123
12284009	123	123
1895955	123	123
25269078	123	123
11101200	123	123
38230815	123	123
52313029	123	123
68957523	123	123
87110892	123	123
89412881	123	123
1854624	123	123
47269000	123	123
25303285	123	123
6981516	123	123
82363678	123	123
31849102	123	123
75280423	123	123
513321	123	123
71800998	123	123
91756024	123	123
58545154	123	123
27494381	123	123
37063785	123	123
14987280	123	123
72544772	123	123
61556155	123	123
75689888	123	123
18981085	123	123
72008332	123	123
71999559	123	123
2050551	123	123
83865125	123	123
17390805	123	123
31333840	123	123
1824519	123	123
74879052	123	123
76254133	123	123
81432635	123	123
690781	123	123
35931183	123	123
72022921	123	123
46543184	123	123
15858295	123	123
904975	123	123
73203406	123	123
33278171	123	123
79493961	123	123
73437675	123	123
74651888	123	123
74224679	123	123
73090580	123	123
71247598	123	123
12906039	123	123
23572875	123	123
53801496	123	123
94590892	123	123
1802115	123	123
6908837	123	123
16021115	123	123
14259512	123	123
16791879	123	123
34951749	123	123
41070439	123	123
71124801	123	123
17196035	123	123
98126309	123	123
22415785	123	123
58450262	123	123
88008117	123	123
22648809	123	123
18126001	123	123
40644729	123	123
55183307	123	123
3310862	123	123
38223185	123	123
62078493	123	123
9098140	123	123
94631044	123	123
2363752	123	123
36044315	123	123
59042938	123	123
7019310	123	123
9650013	123	123
58968881	123	123
27051401	123	123
76824446	123	123
7226626	123	123
72937463	123	123
3880520	123	123
14539034	123	123
61147648	123	123
56148162	123	123
23585284	123	123
85886331	123	123
66802244	123	123
32203658	123	123
31818357	123	123
72875166	123	123
73704123	123	123
70747775	123	123
18718029	123	123
17777624	123	123
31661398	123	123
177191	123	123
69103327	123	123
78269148	123	123
27652164	123	123
11940731	123	123
85213226	123	123
31890460	123	123
32556599	123	123
77319788	123	123
4476942	123	123
41259037	123	123
88993224	123	123
68119555	123	123
88494319	123	123
17643539	123	123
36042205	123	123
37387565	123	123
98477622	123	123
53206074	123	123
94988482	123	123
81390372	123	123
7613411	123	123
67254133	123	123
81884209	123	123
3151613	123	123
9109213	123	123
72786773	123	123
29427208	123	123
77330269	123	123
25192150	123	123
82316320	123	123
57813172	123	123
87115870	123	123
96287564	123	123
89751061	123	123
56058904	123	123
58076165	123	123
37623371	123	123
8002156	123	123
5891144	123	123
16456622	123	123
40631754	123	123
19140621	123	123
22225383	123	123
50077634	123	123
50394506	123	123
7535241	123	123
65484188	123	123
29928291	123	123
43269068	123	123
56374122	123	123
91414223	123	123
61556135	123	123
58854877	123	123
45120998	123	123
54312076	123	123
43877509	123	123
48815814	123	123
12526456	123	123
86968619	123	123
14518745	123	123
29570108	123	123
34266616	123	123
24182226	123	123
54922056	123	123
56068398	123	123
60569724	123	123
1730741	123	123
85897716	123	123
1601501	123	123
9479359	123	123
24552344	123	123
46127645	123	123
91732670	123	123
94895737	123	123
52899348	123	123
3840291	123	123
76946733	123	123
25001378	123	123
35613091	123	123
88020913	123	123
19325274	123	123
99687922	123	123
15915558	123	123
19154079	123	123
55017539	123	123
11090587	123	123
68536849	123	123
61124201	123	123
56086998	123	123
61407262	123	123
48329925	123	123
61108909	123	123
61268673	123	123
31958338	123	123
96296468	123	123
55348452	123	123
68094744	123	123
58641727	123	123
13656540	123	123
30310332	123	123
17898702	123	123
24657651	123	123
31508579	123	123
48351864	123	123
981668	123	123
48306146	123	123
90066554	123	123
12266028	123	123
39727116	123	123
32649952	123	123
56912251	123	123
33842930	123	123
40265414	123	123
56477408	123	123
35734404	123	123
6675379	123	123
63050410	123	123
65052227	123	123
6237223	123	123
41834735	123	123
33411348	123	123
19258610	123	123
17830910	123	123
79701277	123	123
83806964	123	123
42052703	123	123
38085026	123	123
88818331	123	123
53161081	123	123
44870817	123	123
6445271	123	123
91810115	123	123
71691927	123	123
30997296	123	123
93101330	123	123
36004966	123	123
18477551	123	123
43361459	123	123
34084343	123	123
30621503	123	123
18096221	123	123
29989276	123	123
50469086	123	123
38892259	123	123
23619689	123	123
42067145	123	123
92975777	123	123
82925441	123	123
33428765	123	123
53054376	123	123
49564404	123	123
89079959	123	123
52655408	123	123
2917143	123	123
26493878	123	123
85336828	123	123
32428392	123	123
96215401	123	123
1058827	123	123
88122465	123	123
68169028	123	123
95012290	123	123
58147918	123	123
94181955	123	123
94549042	123	123
9377580	123	123
1960668	123	123
22091819	123	123
48554761	123	123
58489584	123	123
78569691	123	123
80172247	123	123
72342414	123	123
72248814	123	123
62926456	123	123
90208701	123	123
61397178	123	123
69889318	123	123
77830314	123	123
31104980	123	123
34053055	123	123
20365001	123	123
44332038	123	123
81722584	123	123
33489365	123	123
38044815	123	123
10195421	123	123
69330417	123	123
45420312	123	123
32233610	123	123
79922754	123	123
91213096	123	123
19108951	123	123
62639898	123	123
34140540	123	123
26612979	123	123
89039293	123	123
39319591	123	123
35162595	123	123
35776748	123	123
46475343	123	123
85760025	123	123
64865997	123	123
12074398	123	123
54296788	123	123
86478621	123	123
32009115	123	123
78515317	123	123
89540590	123	123
17009696	123	123
65733701	123	123
18457890	123	123
92720638	123	123
86579452	123	123
44823461	123	123
88412494	123	123
2595525	123	123
55764566	123	123
22622094	123	123
24189126	123	123
37178397	123	123
63760616	123	123
81769371	123	123
53166404	123	123
82506039	123	123
9803901	123	123
96486070	123	123
24704119	123	123
90402210	123	123
32415223	123	123
65378630	123	123
45411935	123	123
63219407	123	123
98263731	123	123
31943719	123	123
14845627	123	123
57772477	123	123
40148555	123	123
40099757	123	123
60585979	123	123
20991308	123	123
20894505	123	123
37354675	123	123
13041541	123	123
15485084	123	123
35086236	123	123
70152758	123	123
21982639	123	123
50250761	123	123
66963555	123	123
39977971	123	123
48559183	123	123
80314511	123	123
66810729	123	123
70823557	123	123
36434448	123	123
19407468	123	123
19957935	123	123
93631325	123	123
52657772	123	123
39203984	123	123
16588778	123	123
42260103	123	123
71434190	123	123
778944	123	123
17494313	123	123
3127135	123	123
9045809	123	123
76589385	123	123
76115130	123	123
8594465	123	123
81752204	123	123
93842285	123	123
40718663	123	123
94473966	123	123
5374730	123	123
57942644	123	123
46691426	123	123
15029797	123	123
39556496	123	123
62900438	123	123
16768378	123	123
88778862	123	123
64866062	123	123
24148753	123	123
21500204	123	123
868296	123	123
16090446	123	123
90016941	123	123
57501043	123	123
80182221	123	123
63928331	123	123
1465373	123	123
54707612	123	123
1137517	123	123
3119874	123	123
67922579	123	123
70805517	123	123
70266599	123	123
68371116	123	123
21987689	123	123
83409272	123	123
62640573	123	123
24252196	123	123
50235861	123	123
11787272	123	123
52955686	123	123
59038659	123	123
29786674	123	123
72772667	123	123
75778697	123	123
74920695	123	123
74889498	123	123
2652056	123	123
99307162	123	123
41731730	123	123
66567388	123	123
35056697	123	123
19420407	123	123
10662903	123	123
47279639	123	123
29892054	123	123
27325378	123	123
96665636	123	123
66819208	123	123
19133301	123	123
51701169	123	123
58181119	123	123
35074346	123	123
73801326	123	123
71838085	123	123
65766871	123	123
96031221	123	123
61241757	123	123
11098120	123	123
31943303	123	123
8258523	123	123
30787537	123	123
59671178	123	123
89211452	123	123
11243727	123	123
55048617	123	123
84044974	123	123
66826862	123	123
89817948	123	123
67538388	123	123
68023628	123	123
13395021	123	123
33238184	123	123
72074661	123	123
16516161	123	123
19205007	123	123
10821936	123	123
55722658	123	123
20607413	123	123
90308284	123	123
58372566	123	123
60128073	123	123
5017529	123	123
40427955	123	123
2133332	123	123
90063896	123	123
10264066	123	123
52047583	123	123
28919079	123	123
543886	123	123
53985592	123	123
57870298	123	123
44244090	123	123
66888234	123	123
27030817	123	123
5674610	123	123
60842501	123	123
85670699	123	123
52262613	123	123
22886132	123	123
4827933	123	123
91544355	123	123
9542318	123	123
15853893	123	123
56683559	123	123
19181956	123	123
1566304	123	123
17031969	123	123
78156674	123	123
85469836	123	123
36373470	123	123
52211156	123	123
2628351	123	123
71730	123	123
85456407	123	123
99931338	123	123
61918187	123	123
84690791	123	123
31907643	123	123
14543467	123	123
62400983	123	123
59766132	123	123
97173694	123	123
13526215	123	123
6214732	123	123
68771579	123	123
88815733	123	123
65285585	123	123
39250632	123	123
19372935	123	123
88522488	123	123
68862682	123	123
80252497	123	123
70153261	123	123
92309401	123	123
54699213	123	123
90449122	123	123
86411246	123	123
12742642	123	123
16582004	123	123
35277052	123	123
719862	123	123
88517524	123	123
94725762	123	123
57469570	123	123
39433018	123	123
53553270	123	123
35465170	123	123
44772993	123	123
25423853	123	123
10956344	123	123
44060526	123	123
65314578	123	123
22346549	123	123
3239646	123	123
47903471	123	123
65705007	123	123
42164967	123	123
1961600	123	123
5284173	123	123
82094675	123	123
83694822	123	123
71603711	123	123
39446734	123	123
22310043	123	123
17506007	123	123
76018538	123	123
54781448	123	123
99536090	123	123
62926782	123	123
94649067	123	123
24791067	123	123
22409138	123	123
15908367	123	123
90091191	123	123
59114647	123	123
50200884	123	123
71426789	123	123
62916237	123	123
8184570	123	123
28613396	123	123
27270575	123	123
40261387	123	123
80033031	123	123
36091502	123	123
79455786	123	123
98213231	123	123
72208927	123	123
27302466	123	123
6894399	123	123
39845525	123	123
39744985	123	123
87583408	123	123
61070162	123	123
88663579	123	123
66769104	123	123
78344015	123	123
43916102	123	123
66580847	123	123
8349329	123	123
10016092	123	123
35727942	123	123
43176023	123	123
19828982	123	123
14302477	123	123
94113185	123	123
91640577	123	123
62119519	123	123
4073479	123	123
20266877	123	123
58530450	123	123
55608789	123	123
77890458	123	123
99932876	123	123
34327393	123	123
57457927	123	123
34905673	123	123
16752830	123	123
31211044	123	123
82878256	123	123
75288817	123	123
83148845	123	123
73526971	123	123
40448248	123	123
60421826	123	123
43931166	123	123
58620784	123	123
22298694	123	123
56467188	123	123
51111658	123	123
37344872	123	123
25443847	123	123
31743000	123	123
11776705	123	123
9589030	123	123
17790344	123	123
33876968	123	123
23943814	123	123
99211286	123	123
2021332	123	123
70108514	123	123
34155082	123	123
89027470	123	123
6204119	123	123
3201664	123	123
41749364	123	123
35029352	123	123
99646775	123	123
37213124	123	123
8673000	123	123
3284840	123	123
61447598	123	123
65221909	123	123
31930713	123	123
60544519	123	123
33477317	123	123
42713527	123	123
19851438	123	123
23572836	123	123
87666610	123	123
77336832	123	123
30727380	123	123
25064238	123	123
78096905	123	123
82456135	123	123
17616451	123	123
23131648	123	123
66843502	123	123
23474084	123	123
61099446	123	123
43929286	123	123
96411979	123	123
83563448	123	123
53136956	123	123
43200084	123	123
41668840	123	123
56211940	123	123
25262334	123	123
95015315	123	123
68477739	123	123
15713675	123	123
48118794	123	123
93548092	123	123
90209594	123	123
25003079	123	123
7792996	123	123
23545517	123	123
49659075	123	123
39519860	123	123
55266998	123	123
83538131	123	123
84723539	123	123
39982197	123	123
64352820	123	123
62634264	123	123
11477722	123	123
88827552	123	123
21542015	123	123
46514624	123	123
69697031	123	123
39731346	123	123
40982074	123	123
24845229	123	123
50554623	123	123
45550351	123	123
60827022	123	123
78495905	123	123
25127594	123	123
69970491	123	123
80249908	123	123
13458814	123	123
14686451	123	123
40126414	123	123
17910438	123	123
62980386	123	123
37244411	123	123
2474217	123	123
3347683	123	123
67395752	123	123
88233767	123	123
23355595	123	123
19855701	123	123
18804129	123	123
81104883	123	123
77493211	123	123
32557146	123	123
29168715	123	123
335287	123	123
56020239	123	123
86171665	123	123
89920224	123	123
22809474	123	123
68749286	123	123
46339713	123	123
63894296	123	123
